First Last,First,Last,Company,Domain
Chris Riccobono,Chris,Riccobono,UNTUCKit LLC,www.untuckit.com
Denise Jordan,Denise,Jordan,GladRags,www.gladrags.com
Aaron Burge,Aaron,Burge,House of Pain,www.houseofpain.com
Ronald Rothstein,Ronald,Rothstein,Kleinfeld Bridal Corp.,www.kleinfeldbridal.com
Anna Latkovic,Anna,Latkovic,"Ghurka, Inc.",www.ghurka.com
Elizabeth Charles,Elizabeth,Charles,Elizabeth Charles,www.elizabeth-charles.com
Josie Natori,Josie,Natori,The Natori Company Incorporated,www.natori.com
Bruce Lyon,Bruce,Lyon,Stitch Logo Uniforms,www.stitchlogo.com
Amanda Curtis,Amanda,Curtis,19TH AMENDMENT Co.,www.nineteenthamendment.com
Kelly Sheppard Shatat,Kelly,Shatat,"Moon And Lola, Inc",www.moonandlola.com
Eliza Pratt,Eliza,Pratt,Vogue.com,www.vogue.com
Juan Briceno,Juan,Briceno,Biketivist,www.biketivist.cc
Lucas Mcalpine,Lucas,Mcalpine,Taylor Stitch,www.taylorstitch.com
Kaykay Oyegun,Kaykay,Oyegun,Mira Couture,www.miracouture.com
Bunyamin Aydin,Bunyamin,Aydin,Les Benjamins,www.lesbenjamins.com
Ann Young Keibler,Ann,Keibler,"Oceanic Ventures, Inc.",www.oceanicventures.com
William Green,William,Green,L'Estrange London,www.lestrangelondon.com
Dawn Handwerker,Dawn,Handwerker,Truly Yours,www.shoptrulyyours.com
Maggie Foley,Maggie,Foley,Bella Bridesmaids,www.bellabridesmaids.com
Annemarie Furey,Annemarie,Furey,Turtle Fur Group,www.turtlefur.com
